0	1	0	0	
12	4	4	4	
24	7	8	9	
39	10	12	16	
55	11	14	28	
67	11	20	33	
80	13	24	39	
95	15	25	50	
108	18	29	55	
125	23	36	59	
136	24	40	64	
151	29	46	67	
175	34	54	77	
189	34	56	88	
209	35	64	98	
220	37	67	103	
238	40	73	111	
253	40	80	118	
264	41	85	122	
284	42	92	133	
298	45	97	138	
318	49	104	146	
339	53	108	158	
351	54	112	164	
365	57	118	168	
379	61	121	174	
400	67	126	183	
415	70	129	191	
430	70	136	198	
443	74	139	203	
457	75	144	210	
470	77	147	217	
485	77	156	222	
502	81	160	230	
516	82	163	239	
529	82	166	248	
541	84	170	253	
555	84	174	262	
567	86	176	269	
579	89	177	276	
595	91	183	283	
609	92	188	290	
622	96	191	295	
640	100	196	303	
651	102	199	308	
665	106	202	314	
680	110	207	319	
697	113	213	326	
708	114	214	334	
721	118	214	342	
739	119	219	353	
756	120	224	363	
767	124	226	367	
780	126	229	374	
791	128	233	378	
804	131	235	385	
820	132	239	395	
834	134	243	402	
845	136	248	405	
861	142	253	409	
884	147	263	416	
907	150	273	425	
920	151	277	432	
933	151	284	437	
946	154	290	440	
963	159	294	447	
982	164	298	456	
999	165	304	465	

